2015-08-29 00:16:46 - infiSTAR.de AdminLog | 0h 06min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:35:08 - infiSTAR.de AdminLog | 0h 09min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:36:47 - infiSTAR.de AdminLog | 0h 11min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 00:37:09 - infiSTAR.de AdminLog | 0h 11min | GH0ST G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:37:14 - infiSTAR.de AdminLog | 0h 11min | WeskeR Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:37:20 - infiSTAR.de AdminLog | 0h 11min | GH0ST Moving to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:37:22 - infiSTAR.de AdminLog | 0h 11min | GH0ST Moving to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:37:27 - infiSTAR.de AdminLog | 0h 11min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:37:54 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:02 - infiSTAR.de AdminLog | 0h 12min | GH0ST AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:08 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:09 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:10 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:11 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:15 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:25 - infiSTAR.de AdminLog | 0h 12min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:38:51 - infiSTAR.de AdminLog | 0h 13min | GH0ST (76561198018007006) spawned BTR90_HQ @043117   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:39:03 - infiSTAR.de AdminLog | 0h 13min | WeskeR Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:39:28 - infiSTAR.de AdminLog | 0h 14min | GH0ST - added SCAR_L_STD_Mk4CQT to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:39:44 - infiSTAR.de AdminLog | 0h 14min | GH0ST GroupIcons Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:39:52 - infiSTAR.de AdminLog | 0h 14min | GH0ST AdminGiveAmmo GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
